"41524","occurrence","","","3257","Aves indet.","class","36616","Aves","class","36616","Early Eocene","Middle Eocene","55.8","37.2","149, 149","-1.166667","51.083332","UK","England","Hampshire","small collection","","55.8","37.2","37","109","106","","Bracklesham","","group of beds","","M27 Motorway","DC6ii  7","","","","","","","sandstone","","","","","","","","","","","","","","1","61","0","Patzkowsky, M.","Layou, K.","unknown","1999-07-28 09:41:33","2002-07-10 08:14:50","","5.97","43.28","315"
"41580","occurrence","","","3256","Aves indet.","class","36616","Aves","class","36616","Early Eocene","Middle Eocene","55.8","37.2","149, 149","-1.166667","51.083332","UK","England","Hampshire","small collection","","55.8","37.2","37","109","106","","Bracklesham","","bed","","M27 Motorway","DC5iii","","","","","","","sandstone","","","","","","","","","","","","","","1","61","0","Patzkowsky, M.","Layou, K.","unknown","1999-07-28 10:10:28","2002-07-10 08:07:51","","5.97","43.28","315"
"148510","occurrence","21292","","13106","Gaviiformes indet.","order","39706","Gaviiformes","order","39706","Late Maastrichtian","","70.6","66","29037, 29037","-56.750000","-64.283333","AA","","","local area","","70.6","66","112","112","112","Lopez de Bertodano","","","member","'molluscan units'","","","","","","","formation divided into 10 informal units; bottom six are <i>Rotularia</i> units lacking macrofossils; top four are molluscan units with macrofossils including vertebrates\r\nLopez de Bertodano Formation is approximately Late Maastrichtian according to Crame et al. (2004).","loosely consolidated sandy siltstones intercalated with calcareous concretions and that is all it says","siltstone","concretionary","poorly lithified","sandy","Y","""carbonate""","","lithified","","Y","marine indet.","","part of nearshore marine and coastal-deltaic series within transgressive-regressive cycle","","14","14","447","Carrano, M.","Carrano, M.","Benson, R.","2002-01-21 12:19:14","2011-10-17 08:29:53","","-70.67","-59.34","803"
"149835","occurrence","","","13264","Ornimegalonyx oteroi","species","290147","Ornimegalonyx oteroi","species","290147","Pleistocene","","2.588","0.0117","4396, 4396","-83.666664","22.583332","CU","Sierra de Sumidero","Pinar del Río","","","2.588","0.0117","33","33","33","","","","","","","","","","","","","cave","","","","","","","","","","","terrestrial indet.","","","","4","76","0","Alroy, J.","Whatley, R.","unknown","2002-02-05 15:30:05","2002-02-05 17:30:05","","-83.33","22.76","206"
"150093","occurrence","","","18597","Phalacrocorax subvolans n. sp.","species","53350","Anhinga subvolans","species","110890","Hemingfordian","","20.43","15.97","4414, 4414","-82.599998","29.700001","US","Florida","Gilchrist","outcrop","","20.43","15.97","102","102","102","Alachua","","","member","","","","","","","","","","sandstone","","","calcareous","Y","claystone","planar lamination,blue","","","Y","terrestrial indet.","passive margin","fossils are from multiple horizons including a ""joint clay""; a ""layer of clayballs""; a ""lime sand""; a bed of limestone ""boulders"" with ""gravel and lime sand"" matrix; and a ""laminated bluish clay""; most of the material is from the ""lime sand""","","22","22","4","Hunter, J.","Hunter, J.","Alroy, J.","2002-02-18 09:45:24","2010-11-21 18:01:05","","-75.25","32.13","109"
"150094","occurrence","","","18597","Proictinia floridana n. sp.","species","53301","Promilio floridanus","species","117615","Hemingfordian","","20.43","15.97","4414, 4414","-82.599998","29.700001","US","Florida","Gilchrist","outcrop","","20.43","15.97","102","102","102","Alachua","","","member","","","","","","","","","","sandstone","","","calcareous","Y","claystone","planar lamination,blue","","","Y","terrestrial indet.","passive margin","fossils are from multiple horizons including a ""joint clay""; a ""layer of clayballs""; a ""lime sand""; a bed of limestone ""boulders"" with ""gravel and lime sand"" matrix; and a ""laminated bluish clay""; most of the material is from the ""lime sand""","","22","22","4","Hunter, J.","Hunter, J.","Alroy, J.","2002-02-18 09:45:24","2010-11-21 18:01:05","","-75.25","32.13","109"
"150133","occurrence","","","13296","Buteo fluviaticus n. sp.","species","100015","Buteo fluviaticus","species","100015","Orellan","","33.9","33.3","4415, 4415","-104.866669","40.900002","US","Colorado","Weld County","","","33.9","33.3","105","105","105","White River","","","","Oreodon beds","","","","","","","","","","","","","","","","","","","terrestrial indet.","","","","22","22","22","Hunter, J.","Hunter, J.","Hunter, J.","2002-02-18 12:13:25","2003-03-11 13:30:03","","-89.36","46.64","101"
"150134","occurrence","","","13297","Hadrogyps n. gen. aigialeus n. sp.","species","53351","Hadrogyps aigialeus","species","53351","Langhian","","15.97","13.82","4416, 4416","-118.500000","35.299999","US","California","Kern","","","15.97","13.82","101","101","101","Temblor","","Round Mountain Silt","member","","","","","","","","Locality described as being in ""Round Mountain Silt"", Barstovian\r\n\r\nThe Round Mountain Silt has been dated to 16.1–14.5 Ma based on magnetostratigraphy, strontium dating, and diatoms indicative of the Denticulopsis lauta A biozone (16–15 Ma). More specifically, the middle portion of Round Mountain Silt (including the bone bed) has been correlated with Chron C5Br, indicating an age range of 16.0–15.2 Ma [193]. (Marx & Fordyce, 2015)","","siltstone","","","","Y","","","","","","shoreface","","The environment is reconstructed on the basis of the fauna as coastal or shoreline marine. Marine taxa dominant (whales and pelagic birds) with some terrestrial mammals. \r\n\r\ndeep-sea fan, fed by subaerial uplifts of Franciscan and granitic basement","","22","22","18","Hunter, J.","Hunter, J.","Uhen, M.","2002-02-18 12:54:21","2010-12-03 12:32:32","","-111.06","38.41","130"
"150135","occurrence","","","13298","Primapus n. gen. lacki n. sp.","species","53337","Primapus lacki","species","53337","Ypresian","","56","47.8","4417, 4417","-0.683333","50.783333","UK","Sussex","","small collection","","56","47.8","109","109","109","London Clay","","","","Fish Tooth Beds","","","","","","","","","claystone","","","","Y","","","","","","marine indet.","","","","22","22","22","Hunter, J.","Hunter, J.","Hunter, J.","2002-02-19 07:55:24","2003-03-11 11:09:06","","6.91","42.04","315"
"150136","occurrence","","","13299","Primapus lacki","species","53337","Primapus lacki","species","53337","Ypresian","","56","47.8","4417, 4417","0.833333","51.400002","UK","Kent","","local area","","56","47.8","109","109","109","London Clay","","","formation","","","","","","","","MP8 + 9, NP12 (from Smith & Smith, 2003)","","claystone","","","","Y","","","","","","marine indet.","","","","22","22","18","Hunter, J.","Hunter, J.","Uhen, M.","2002-02-19 07:59:27","2012-02-20 19:30:39","","8.27","42.57","315"
